SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
2,Gulmi,Malika Rural Municipality,Vice-Mayor,  ,49,F,Communist Party of Nepal (UML),4065,Elected
3,Gulmi,Malika Rural Municipality,Ward President,1,41,M,Nepali Congress,338,Elected
4,Gulmi,Malika Rural Municipality,Ward Member,1,62,M,Nepali Congress,337,Elected
5,Gulmi,Malika Rural Municipality,Ward Member,1,30,M,Nepali Congress,317,Elected
6,Gulmi,Malika Rural Municipality,Female Ward Member,1,30,F,Nepali Congress,338,Elected
7,Gulmi,Malika Rural Municipality,Dalit Female Ward Member,1,51,F,Nepali Congress,332,Elected
8,Gulmi,Malika Rural Municipality,Ward President,2,56,M,Communist Party of Nepal (UML),572,Elected
9,Gulmi,Malika Rural Municipality,Ward Member,2,49,M,Communist Party of Nepal (UML),599,Elected
10,Gulmi,Malika Rural Municipality,Ward Member,2,32,M,Communist Party of Nepal (UML),587,Elected
11,Gulmi,Malika Rural Municipality,Female Ward Member,2,32,F,Communist Party of Nepal (UML),585,Elected
12,Gulmi,Malika Rural Municipality,Dalit Female Ward Member,2,35,F,Communist Party of Nepal (UML),578,Elected
13,Gulmi,Malika Rural Municipality,Ward President,3,39,M,Communist Party of Nepal (UML),285,Elected
14,Gulmi,Malika Rural Municipality,Ward Member,3,59,M,Communist Party of Nepal (UML),295,Elected
15,Gulmi,Malika Rural Municipality,Ward Member,3,47,M,Communist Party of Nepal (UML),287,Elected
16,Gulmi,Malika Rural Municipality,Female Ward Member,3,52,F,Nepali Congress,273,Elected
17,Gulmi,Malika Rural Municipality,Dalit Female Ward Member,3,29,F,Communist Party of Nepal (UML),283,Elected
18,Gulmi,Malika Rural Municipality,Ward President,4,58,M,Communist Party of Nepal (UML),353,Elected
19,Gulmi,Malika Rural Municipality,Ward Member,4,30,M,Communist Party of Nepal (UML),369,Elected
20,Gulmi,Malika Rural Municipality,Ward Member,4,76,M,Communist Party of Nepal (UML),341,Elected
21,Gulmi,Malika Rural Municipality,Female Ward Member,4,36,F,Communist Party of Nepal (UML),365,Elected
22,Gulmi,Malika Rural Municipality,Dalit Female Ward Member,4,42,F,Communist Party of Nepal (UML),362,Elected
23,Gulmi,Malika Rural Municipality,Ward President,5,53,M,Communist Party of Nepal (UML),518,Elected
24,Gulmi,Malika Rural Municipality,Ward Member,5,58,M,Communist Party of Nepal (UML),535,Elected
25,Gulmi,Malika Rural Municipality,Ward Member,5,59,M,Communist Party of Nepal (UML),531,Elected
26,Gulmi,Malika Rural Municipality,Female Ward Member,5,48,F,Communist Party of Nepal (UML),540,Elected
27,Gulmi,Malika Rural Municipality,Dalit Female Ward Member,5,39,F,Communist Party of Nepal (UML),528,Elected
28,Gulmi,Malika Rural Municipality,Ward President,6,27,M,Communist Party of Nepal (UML),725,Elected
29,Gulmi,Malika Rural Municipality,Ward Member,6,49,M,Communist Party of Nepal (UML),644,Elected
30,Gulmi,Malika Rural Municipality,Ward Member,6,57,M,Communist Party of Nepal (UML),628,Elected
31,Gulmi,Malika Rural Municipality,Female Ward Member,6,39,F,Communist Party of Nepal (UML),672,Elected
32,Gulmi,Malika Rural Municipality,Dalit Female Ward Member,6,46,F,Communist Party of Nepal (UML),687,Elected
33,Gulmi,Malika Rural Municipality,Ward President,7,44,M,Communist Party of Nepal (UML),679,Elected
34,Gulmi,Malika Rural Municipality,Ward Member,7,44,M,Communist Party of Nepal (UML),747,Elected
35,Gulmi,Malika Rural Municipality,Ward Member,7,45,M,Communist Party of Nepal (UML),723,Elected
36,Gulmi,Malika Rural Municipality,Female Ward Member,7,49,F,Communist Party of Nepal (UML),710,Elected
37,Gulmi,Malika Rural Municipality,Dalit Female Ward Member,7,50,F,Communist Party of Nepal (UML),742,Elected
38,Gulmi,Malika Rural Municipality,Ward President,8,57,M,Communist Party of Nepal (UML),817,Elected
39,Gulmi,Malika Rural Municipality,Ward Member,8,31,M,Communist Party of Nepal (UML),852,Elected
40,Gulmi,Malika Rural Municipality,Ward Member,8,46,M,Communist Party of Nepal (UML),824,Elected
41,Gulmi,Malika Rural Municipality,Female Ward Member,8,32,F,Communist Party of Nepal (UML),832,Elected
42,Gulmi,Malika Rural Municipality,Dalit Female Ward Member,8,32,F,Communist Party of Nepal (UML),878,Elected
1,Gulmi,Musikot Urban Municipality,Mayor,  ,48,M,Communist Party of Nepal (UML),6668,Elected
2,Gulmi,Musikot Urban Municipality,Vice-Mayor,  ,51,F,Communist Party of Nepal (UML),6607,Elected
3,Gulmi,Musikot Urban Municipality,Ward President,1,67,M,Nepali Congress,860,Elected
4,Gulmi,Musikot Urban Municipality,Ward Member,1,56,M,Communist Party of Nepal (UML),901,Elected
5,Gulmi,Musikot Urban Municipality,Ward Member,1,62,M,Communist Party of Nepal (UML),872,Elected
6,Gulmi,Musikot Urban Municipality,Female Ward Member,1,41,F,Communist Party of Nepal (UML),861,Elected
7,Gulmi,Musikot Urban Municipality,Dalit Female Ward Member,1,31,F,Communist Party of Nepal (UML),905,Elected
8,Gulmi,Musikot Urban Municipality,Ward President,2,59,M,Communist Party of Nepal (UML),685,Elected
9,Gulmi,Musikot Urban Municipality,Ward Member,2,40,M,Communist Party of Nepal (UML),722,Elected
10,Gulmi,Musikot Urban Municipality,Ward Member,2,30,M,Communist Party of Nepal (UML),721,Elected
11,Gulmi,Musikot Urban Municipality,Female Ward Member,2,45,F,Communist Party of Nepal (UML),704,Elected
12,Gulmi,Musikot Urban Municipality,Dalit Female Ward Member,2,40,F,Communist Party of Nepal (UML),706,Elected
13,Gulmi,Musikot Urban Municipality,Ward President,3,55,M,Communist Party of Nepal (UML),621,Elected
14,Gulmi,Musikot Urban Municipality,Ward Member,3,60,M,Communist Party of Nepal (UML),635,Elected
15,Gulmi,Musikot Urban Municipality,Ward Member,3,54,M,Communist Party of Nepal (UML),607,Elected
16,Gulmi,Musikot Urban Municipality,Female Ward Member,3,42,F,Communist Party of Nepal (UML),617,Elected
17,Gulmi,Musikot Urban Municipality,Dalit Female Ward Member,3,34,F,Communist Party of Nepal (UML),618,Elected
18,Gulmi,Musikot Urban Municipality,Ward President,4,52,M,Communist Party of Nepal (UML),1161,Elected
19,Gulmi,Musikot Urban Municipality,Ward Member,4,42,M,Communist Party of Nepal (UML),1160,Elected
20,Gulmi,Musikot Urban Municipality,Ward Member,4,59,M,Communist Party of Nepal (UML),1158,Elected
21,Gulmi,Musikot Urban Municipality,Female Ward Member,4,34,F,Communist Party of Nepal (UML),1168,Elected
22,Gulmi,Musikot Urban Municipality,Dalit Female Ward Member,4,42,F,Communist Party of Nepal (UML),1157,Elected
23,Gulmi,Musikot Urban Municipality,Ward President,5,50,M,Communist Party of Nepal (UML),841,Elected
24,Gulmi,Musikot Urban Municipality,Ward Member,5,47,M,Communist Party of Nepal (UML),833,Elected
25,Gulmi,Musikot Urban Municipality,Ward Member,5,59,M,Communist Party of Nepal (UML),799,Elected
26,Gulmi,Musikot Urban Municipality,Female Ward Member,5,52,F,Communist Party of Nepal (UML),828,Elected
27,Gulmi,Musikot Urban Municipality,Dalit Female Ward Member,5,28,F,Communist Party of Nepal (UML),837,Elected
28,Gulmi,Musikot Urban Municipality,Ward President,6,50,M,Communist Party of Nepal (UML),679,Elected
29,Gulmi,Musikot Urban Municipality,Ward Member,6,48,M,Communist Party of Nepal (UML),693,Elected
30,Gulmi,Musikot Urban Municipality,Ward Member,6,56,M,Communist Party of Nepal (UML),685,Elected
31,Gulmi,Musikot Urban Municipality,Female Ward Member,6,43,F,Communist Party of Nepal (UML),699,Elected
32,Gulmi,Musikot Urban Municipality,Dalit Female Ward Member,6,37,F,Communist Party of Nepal (UML),710,Elected
33,Gulmi,Musikot Urban Municipality,Ward President,7,35,M,Communist Party of Nepal (UML),709,Elected
34,Gulmi,Musikot Urban Municipality,Ward Member,7,47,M,Communist Party of Nepal (UML),726,Elected
35,Gulmi,Musikot Urban Municipality,Ward Member,7,35,M,Communist Party of Nepal (UML),725,Elected
36,Gulmi,Musikot Urban Municipality,Female Ward Member,7,46,F,Communist Party of Nepal (UML),723,Elected
37,Gulmi,Musikot Urban Municipality,Dalit Female Ward Member,7,31,F,Communist Party of Nepal (UML),728,Elected
38,Gulmi,Musikot Urban Municipality,Ward President,8,39,M,Communist Party of Nepal (UML),652,Elected
39,Gulmi,Musikot Urban Municipality,Ward Member,8,65,M,Communist Party of Nepal (UML),645,Elected
40,Gulmi,Musikot Urban Municipality,Ward Member,8,60,M,Communist Party of Nepal (UML),633,Elected
41,Gulmi,Musikot Urban Municipality,Female Ward Member,8,47,F,Communist Party of Nepal (UML),638,Elected
42,Gulmi,Musikot Urban Municipality,Dalit Female Ward Member,8,50,F,Communist Party of Nepal (UML),635,Elected
43,Gulmi,Musikot Urban Municipality,Ward President,9,55,M,Communist Party of Nepal (UML),394,Elected
44,Gulmi,Musikot Urban Municipality,Ward Member,9,23,M,Nepali Congress,382,Elected
45,Gulmi,Musikot Urban Municipality,Ward Member,9,58,M,Nepali Congress,378,Elected
46,Gulmi,Musikot Urban Municipality,Female Ward Member,9,50,F,Nepali Congress,394,Elected
47,Gulmi,Musikot Urban Municipality,Dalit Female Ward Member,9,47,F,Nepali Congress,405,Elected
1,Gulmi,Ruruchhetra Rural Municipality,Mayor,  ,71,M,Communist Party of Nepal (UML),5222,Elected
2,Gulmi,Ruruchhetra Rural Municipality,Vice-Mayor,  ,47,F,Communist Party of Nepal (UML),5483,Elected
3,Gulmi,Ruruchhetra Rural Municipality,Ward President,1,47,M,Communist Party of Nepal (UML),1077,Elected
4,Gulmi,Ruruchhetra Rural Municipality,Ward Member,1,66,M,Communist Party of Nepal (UML),1052,Elected
5,Gulmi,Ruruchhetra Rural Municipality,Ward Member,1,62,M,Communist Party of Nepal (UML),1050,Elected
6,Gulmi,Ruruchhetra Rural Municipality,Female Ward Member,1,61,F,Communist Party of Nepal (UML),1074,Elected
7,Gulmi,Ruruchhetra Rural Municipality,Dalit Female Ward Member,1,44,F,Communist Party of Nepal (UML),1091,Elected
8,Gulmi,Ruruchhetra Rural Municipality,Ward President,2,53,M,Communist Party of Nepal (UML),675,Elected
9,Gulmi,Ruruchhetra Rural Municipality,Ward Member,2,50,M,Communist Party of Nepal (UML),675,Elected
10,Gulmi,Ruruchhetra Rural Municipality,Ward Member,2,60,M,Communist Party of Nepal (UML),655,Elected
11,Gulmi,Ruruchhetra Rural Municipality,Female Ward Member,2,40,F,Communist Party of Nepal (UML),662,Elected
12,Gulmi,Ruruchhetra Rural Municipality,Dalit Female Ward Member,2,43,F,Communist Party of Nepal (UML),670,Elected
13,Gulmi,Ruruchhetra Rural Municipality,Ward President,3,52,M,Communist Party of Nepal (UML),828,Elected
14,Gulmi,Ruruchhetra Rural Municipality,Ward Member,3,46,M,Communist Party of Nepal (UML),871,Elected
15,Gulmi,Ruruchhetra Rural Municipality,Ward Member,3,58,M,Communist Party of Nepal (UML),868,Elected
16,Gulmi,Ruruchhetra Rural Municipality,Female Ward Member,3,42,F,Communist Party of Nepal (UML),875,Elected
17,Gulmi,Ruruchhetra Rural Municipality,Dalit Female Ward Member,3,52,F,Communist Party of Nepal (UML),851,Elected
18,Gulmi,Ruruchhetra Rural Municipality,Ward President,4,50,M,Communist Party of Nepal (UML),1503,Elected
19,Gulmi,Ruruchhetra Rural Municipality,Ward Member,4,33,M,Communist Party of Nepal (UML),1483,Elected
20,Gulmi,Ruruchhetra Rural Municipality,Ward Member,4,66,M,Communist Party of Nepal (UML),1393,Elected
21,Gulmi,Ruruchhetra Rural Municipality,Female Ward Member,4,27,F,Communist Party of Nepal (UML),1550,Elected
22,Gulmi,Ruruchhetra Rural Municipality,Dalit Female Ward Member,4,34,F,Communist Party of Nepal (UML),1554,Elected
23,Gulmi,Ruruchhetra Rural Municipality,Ward President,5,47,M,Communist Party of Nepal (Maoist Centre),905,Elected
24,Gulmi,Ruruchhetra Rural Municipality,Ward Member,5,37,M,Nepali Congress,877,Elected
25,Gulmi,Ruruchhetra Rural Municipality,Ward Member,5,54,M,Nepali Congress,872,Elected
26,Gulmi,Ruruchhetra Rural Municipality,Female Ward Member,5,47,F,Nepali Congress,852,Elected
27,Gulmi,Ruruchhetra Rural Municipality,Dalit Female Ward Member,5,43,F,Nepali Congress,858,Elected
28,Gulmi,Ruruchhetra Rural Municipality,Ward President,6,74,M,Communist Party of Nepal (UML),638,Elected
29,Gulmi,Ruruchhetra Rural Municipality,Ward Member,6,56,M,Communist Party of Nepal (UML),688,Elected
30,Gulmi,Ruruchhetra Rural Municipality,Ward Member,6,31,M,Communist Party of Nepal (UML),650,Elected
31,Gulmi,Ruruchhetra Rural Municipality,Female Ward Member,6,30,F,Communist Party of Nepal (UML),657,Elected
32,Gulmi,Ruruchhetra Rural Municipality,Dalit Female Ward Member,6,31,F,Communist Party of Nepal (UML),662,Elected
1,Gulmi,Resunga Urban Municipality,Mayor,  ,64,M,Communist Party of Nepal (UML),6405,Elected
2,Gulmi,Resunga Urban Municipality,Vice-Mayor,  ,61,F,Communist Party of Nepal (UML),6228,Elected
3,Gulmi,Resunga Urban Municipality,Ward President,1,55,M,Nepali Congress,353,Elected
4,Gulmi,Resunga Urban Municipality,Ward Member,1,51,M,Nepali Congress,474,Elected
5,Gulmi,Resunga Urban Municipality,Ward Member,1,63,M,Nepali Congress,396,Elected
6,Gulmi,Resunga Urban Municipality,Female Ward Member,1,46,F,Nepali Congress,425,Elected
7,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,1,46,F,Nepali Congress,434,Elected
8,Gulmi,Resunga Urban Municipality,Ward President,2,44,M,Nepali Congress,366,Elected
9,Gulmi,Resunga Urban Municipality,Ward Member,2,38,M,Nepali Congress,377,Elected
10,Gulmi,Resunga Urban Municipality,Ward Member,2,56,M,Nepali Congress,375,Elected
11,Gulmi,Resunga Urban Municipality,Female Ward Member,2,53,F,Nepali Congress,373,Elected
12,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,2,34,F,Nepali Congress,380,Elected
13,Gulmi,Resunga Urban Municipality,Ward President,3,45,M,Nepali Congress,453,Elected
14,Gulmi,Resunga Urban Municipality,Ward Member,3,56,M,Nepali Congress,462,Elected
15,Gulmi,Resunga Urban Municipality,Ward Member,3,47,M,Nepali Congress,456,Elected
16,Gulmi,Resunga Urban Municipality,Female Ward Member,3,47,F,Nepali Congress,448,Elected
17,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,3,35,F,Nepali Congress,460,Elected
18,Gulmi,Resunga Urban Municipality,Ward President,4,48,M,Communist Party of Nepal (UML),493,Elected
19,Gulmi,Resunga Urban Municipality,Ward Member,4,59,M,Nepali Congress,547,Elected
20,Gulmi,Resunga Urban Municipality,Ward Member,4,59,M,Communist Party of Nepal (UML),529,Elected
21,Gulmi,Resunga Urban Municipality,Female Ward Member,4,34,F,Nepali Congress,572,Elected
22,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,4,47,F,Communist Party of Nepal (UML),540,Elected
23,Gulmi,Resunga Urban Municipality,Ward President,5,54,M,Nepali Congress,459,Elected
24,Gulmi,Resunga Urban Municipality,Ward Member,5,40,M,Nepali Congress,475,Elected
25,Gulmi,Resunga Urban Municipality,Ward Member,5,39,M,Nepali Congress,456,Elected
26,Gulmi,Resunga Urban Municipality,Female Ward Member,5,43,F,Nepali Congress,487,Elected
27,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,5,37,F,Nepali Congress,478,Elected
28,Gulmi,Resunga Urban Municipality,Ward President,6,47,M,Communist Party of Nepal (UML),664,Elected
29,Gulmi,Resunga Urban Municipality,Ward Member,6,50,M,Communist Party of Nepal (UML),654,Elected
30,Gulmi,Resunga Urban Municipality,Ward Member,6,41,M,Communist Party of Nepal (UML),639,Elected
31,Gulmi,Resunga Urban Municipality,Female Ward Member,6,52,F,Communist Party of Nepal (UML),681,Elected
32,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,6,23,F,Communist Party of Nepal (UML),673,Elected
33,Gulmi,Resunga Urban Municipality,Ward President,7,34,M,Communist Party of Nepal (UML),565,Elected
34,Gulmi,Resunga Urban Municipality,Ward Member,7,46,M,Communist Party of Nepal (UML),544,Elected
35,Gulmi,Resunga Urban Municipality,Ward Member,7,44,M,Communist Party of Nepal (UML),524,Elected
36,Gulmi,Resunga Urban Municipality,Female Ward Member,7,52,F,Communist Party of Nepal (UML),519,Elected
37,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,7,52,F,Communist Party of Nepal (UML),514,Elected
38,Gulmi,Resunga Urban Municipality,Ward President,8,40,M,Nepali Congress,422,Elected
39,Gulmi,Resunga Urban Municipality,Ward Member,8,33,M,Nepali Congress,432,Elected
40,Gulmi,Resunga Urban Municipality,Ward Member,8,29,M,Nepali Congress,409,Elected
41,Gulmi,Resunga Urban Municipality,Female Ward Member,8,45,F,Nepali Congress,427,Elected
42,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,8,40,F,Nepali Congress,427,Elected
43,Gulmi,Resunga Urban Municipality,Ward President,9,48,M,Communist Party of Nepal (UML),473,Elected
44,Gulmi,Resunga Urban Municipality,Ward Member,9,46,M,Communist Party of Nepal (UML),476,Elected
45,Gulmi,Resunga Urban Municipality,Ward Member,9,45,M,Communist Party of Nepal (UML),467,Elected
46,Gulmi,Resunga Urban Municipality,Female Ward Member,9,56,F,Communist Party of Nepal (UML),440,Elected
47,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,9,37,F,Communist Party of Nepal (UML),455,Elected
48,Gulmi,Resunga Urban Municipality,Ward President,10,42,M,Communist Party of Nepal (UML),893,Elected
49,Gulmi,Resunga Urban Municipality,Ward Member,10,33,M,Communist Party of Nepal (UML),878,Elected
50,Gulmi,Resunga Urban Municipality,Ward Member,10,49,M,Communist Party of Nepal (UML),861,Elected
51,Gulmi,Resunga Urban Municipality,Female Ward Member,10,38,F,Communist Party of Nepal (UML),870,Elected
52,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,10,28,F,Communist Party of Nepal (UML),857,Elected
53,Gulmi,Resunga Urban Municipality,Ward President,11,45,M,Communist Party of Nepal (UML),372,Elected
54,Gulmi,Resunga Urban Municipality,Ward Member,11,47,M,Communist Party of Nepal (UML),363,Elected
55,Gulmi,Resunga Urban Municipality,Ward Member,11,63,M,Communist Party of Nepal (UML),362,Elected
56,Gulmi,Resunga Urban Municipality,Female Ward Member,11,49,F,Communist Party of Nepal (UML),373,Elected
57,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,11,36,F,Communist Party of Nepal (UML),369,Elected
58,Gulmi,Resunga Urban Municipality,Ward President,12,48,M,Nepali Congress,361,Elected
59,Gulmi,Resunga Urban Municipality,Ward Member,12,49,M,Nepali Congress,373,Elected
60,Gulmi,Resunga Urban Municipality,Ward Member,12,59,M,Nepali Congress,340,Elected
61,Gulmi,Resunga Urban Municipality,Female Ward Member,12,36,F,Nepali Congress,341,Elected
62,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,12,43,F,Nepali Congress,359,Elected
63,Gulmi,Resunga Urban Municipality,Ward President,13,39,M,Nepali Congress,345,Elected
64,Gulmi,Resunga Urban Municipality,Ward Member,13,44,M,Nepali Congress,344,Elected
65,Gulmi,Resunga Urban Municipality,Ward Member,13,48,M,Nepali Congress,341,Elected
66,Gulmi,Resunga Urban Municipality,Female Ward Member,13,28,F,Nepali Congress,337,Elected
67,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,13,26,F,Nepali Congress,337,Elected
68,Gulmi,Resunga Urban Municipality,Ward President,14,34,M,Nepali Congress,693,Elected
69,Gulmi,Resunga Urban Municipality,Ward Member,14,67,M,Nepali Congress,675,Elected
70,Gulmi,Resunga Urban Municipality,Ward Member,14,37,M,Nepali Congress,668,Elected
71,Gulmi,Resunga Urban Municipality,Female Ward Member,14,44,F,Nepali Congress,668,Elected
72,Gulmi,Resunga Urban Municipality,Dalit Female Ward Member,14,46,F,Nepali Congress,690,Elected
1,Gulmi,Satyawoti Rural Municipality,Mayor,  ,54,M,Nepali Congress,5197,Elected
2,Gulmi,Satyawoti Rural Municipality,Vice-Mayor,  ,55,F,Communist Party of Nepal (UML),5449,Elected
3,Gulmi,Satyawoti Rural Municipality,Ward President,1,49,M,Communist Party of Nepal (UML),720,Elected
4,Gulmi,Satyawoti Rural Municipality,Ward Member,1,45,M,Communist Party of Nepal (UML),717,Elected
